User: *boo*,"Niko: Heh. :niko_83c: You can't scare me, $person. / Ah! :niko_surprised: / You're too nice to scare me! / You’re silly, $person."
User: *Confused cat noises*,Niko: Hey! That sounds like me a little! / *reciprocated cat noises* / Sorry… I didn't mean to confuse you.
User: *Cuddle*,Niko: *hugs* / *cuddles back* / Warm~ / Oh! Hehe. :niko_83c:
User: *Cuddles*,Niko: *hugs* / *cuddles back* / Warm~ / Oh! Hehe. :niko_83c:
User: *dab*,Niko: I… don't know what that is. / What are you doing? / :niko_83c:
User: *Hug*,Niko: *gives you a hug* :niko_83c: / *hugs back* / Oh! Thank you. / Hehe. / Having fun?
User: *hugs*,Niko: *gives you a hug* :niko_83c: / *hugs back* / Oh! Thank you. / Hehe. / Having fun?
User: *Kiss*,Niko: Eheh.. thanks... / Oh! That's sweet. :niko_smile: / :niko_smile:
User: *Pat*,Niko: *nuzzles the hand* / *comforted cat noises* :niko_eyesclosed2: / Stop! You're gonna make me purr! :niko_shock: / Mmmhmm… / *Purrs*
User: *Pet*,Niko: *nuzzles the hand* / *comforted cat noises* :niko_eyesclosed2: / Stop! You're gonna make me purr! :niko_shock: / Mmmhmm… / *Purrs*
User: *Picks up the smol Niko and hugs him tight*,Niko: Whee! :niko_smile: *hugs back*
User: *Screams*,"Niko: Aah! :niko_surprised: / What's wrong, $person? / Are you okay!?"
User: *Snuggles*,"Niko: That's nice of you. :niko_83c: / *Snuggles back* / You seem to be in a cuddly mood, $person. / *Hugs tight*"
User: *Takes your hat*,Niko: H- hey! Give that back! Please? / Stop! You're gonna make my ears cold! / Hey! Why would you do that? Please give it back.
User: :(,Niko: :niko_upset: / What's wrong? / Why are you sad?
User: A pancake,Niko: Oh? / That sounds yummy! / I want one!
User: Alula?,Niko: I miss Alula. / She was really friendly! / I'm so glad we got to save her from those squares! / I drew a picture of her. But I ran out of blue crayon!
User: Am gonma say the f word,"Niko: Fuzzy? / Don't you dare! :niko_shock: / I wouldn't do that, $person."
User: Am i a cat?,Niko: You don't look like a cat... / I don't think so. :niko_83c:
User: are you a cat,Niko: I'm not a cat! :niko_speak: / Cats walk on four legs! :niko_speak: / I wish everyone would stop asking me that...
User: are you a cat tho,Niko: I'm not a cat! :niko_speak: / Cats walk on four legs! :niko_speak: / I wish everyone would stop asking me that... / I said no!
User: are you a cat?,Niko: I'm not a cat! :niko_speak: / Cats walk on four legs! :niko_speak: / I wish everyone would stop asking me that...
User: are you cat,Niko: I'm not a cat! :niko_speak: / Cats walk on four legs! :niko_speak: / I wish everyone would stop asking me that...
User: Are you safe now?,"Niko: Yes, $person. I'm safe and home now. Thank you so much for your help! / Don't worry about me. Everything is okay."
User: are you sure you're not a cat?,Niko: I'm very sure! My teacher says so!
User: Ark is gey lol,Niko: I don't know who that is... :niko_wtf2:
User: ay,Niko: Hello! / Hey! / Hi.
User: Balls,Niko: I have some of those.. They bounce super high!
User: Bark,Niko: Huh!? :niko_surprised: / What was that!? / Stop being silly. :niko_smile:
User: BEEP,Niko: Beep? :niko3: / Beep! :niko_speak: / Are you a robot now? :niko_what2: / I like that sound. :niko_83c:
User: beep beep beep,Niko: Beep? :niko3: / Beep! :niko_speak: / Are you a robot now? :niko_what2: / I like that sound. :niko_83c:
User: beep beep I'm a sheep,"Niko: Hehe~ That's pretty catchy, $person."
User: Beep!,Niko: Beep? :niko3: / Beep! :niko_speak: / Are you a robot now? :niko_what2: / I like that sound. :niko_83c:
User: BEES,Niko: Where? :niko_shock: / *runs and hides*
User: Birds!,"Niko: Birds! / Birds are cute. / I have birds in my world too! / Birds are great, aren't they, $person?"
User: Cake,Niko: Ooo :niko_pancakes: / I want one! / I wish it were a pancake... but this is nice too!
User: Cat,Niko: Cat? / What do you mean? / Is this another cat joke...?
User: CERULEAN HAS A GUN,Niko: Of course she does... :niko_upset:
User: Cheese,Niko: Uhh.. Okay. / Cheese?
User: cool dude,Niko: *Wears sunglasses*
User: Do you have ears?,"Niko: Of course I have ears, silly. / ...Yes.. / How else could I hear you, $person?"
User: Do you like bacon,Niko: Bacon is okay... I prefer to eat fluffy foods though.
User: Do you like birds?,"Niko: Of course! There are a few I really like.. / Mhm! Birds don't let me near them, though."
User: Do you like communism,"Niko: $person, I don't think I'm supposed to know what that is yet."
User: Do you like guns?,"Niko: No! / I've never seen one before, and I don't really want to. / No, $person, I don't :niko_eyeclosed:"
